20 10000
12 -14 6
6 -1 2
2 -4 10
-6 4 3
5 3 14
-45 -26 1
-6 20 5
21 9 11
0 7 14
-19 6 9
27 -16 4
26 10 10
-3 25 12
-2 -33 16
-11 -6 6
-16 -1 6
5 0 2
8 -44 10
27 30 6
16 8 6
18 2 4182 1
31 10 0 1
-14 11 3644 1
-20 -4 0 1
-6 -37 3931 345
25 6 3205 1
21 3 6130 676
-29 1 8812 727
19 37 8395 691
7 -22 1518 1
15 12 8395 1071
-10 -6 203 1
-2 11 0 51
4 -10 2573 1026
10 8 11276 1058
-5 3 1023 1
-9 10 5127 1
8 14 12391 875
-17 -31 4283 424
23 22 4871 1262
20 11 7892 1149
-5 -7 10362 1
21 2 3169 200
23 -5 1501 268
11 11 0 2230
-27 0 5001 572
15 -5 11638 43
9 21 6148 2410
8 30 7106 1284
7 17 5255 1
10 43 11074 1622
-3 2 11947 1
9 9 0 2160
-61 9 4886 1294
5 -1 0 1
3 26 3186 1
14 25 9215 1
-2 25 4591 1
2 34 8139 1
15 17 0 1
11 3 4452 190
18 -10 1089 1304
-6 -8 4281 319
-26 -14 10638 351
-8 -7 8635 1
17 -21 8939 1
2 0 17967 1
-9 11 7261 1
12 -17 10220 1
18 50 0 1
49 18 4312 1
10 -37 6557 750
-4 -6 11432 1
20 -7 14457 1
0 -27 8930 224
15 -3 8398 654
19 -6 6782 919
-12 -11 12923 1
11 -11 11636 93
-25 19 1337 1
36 18 5699 1152
14 16 3638 1
-7 41 6180 1
4 18 11445 1
8 -16 1676 1
-6 48 1585 327
4 -8 14579 62
-10 -9 9692 1
43 22 5493 1106
-22 -7 13017 452
-58 25 3598 1
-5 -42 3294 1
16 0 2753 2147
-2 13 11294 1026
-4 -4 6801 1
31 -25 0 356
19 -10 9732 1
-7 -23 488 1256
-10 8 3215 785
-33 4 7230 822
15 0 0 466
6 -32 0 544
-12 -10 5206 1
3 -25 989 965
29 -18 1790 313
7 -16 0 1
1 6 3927 949
-7 -9 2515 1
-26 24 7612 1
-17 -3 5264 1
34 8 9006 2561
5 0 2680 948
33 33 5526 1
36 17 6651 1
21 3 1186 712
-18 35 8183 637
2 -39 0 1671
1 -3 7354 1
4 9 6666 1675
23 25 8803 1071
24 -12 8679 1
-17 -35 6021 291
-22 -9 3590 1550
18 18 10960 1
4 -8 0 1
19 24 517 587
-3 -9 3863 1
20 18 13215 1362
-58 31 0 1228
-9 2 2469 1404
-5 -9 5435 618
-18 -25 9102 1
7 3 10098 378
3 -16 3624 1
13 -2 5863 1496
-11 12 2763 508
-24 8 5027 297
2 -18 2256 1
23 -36 7510 1282
5 5 7103 1
6 6 5720 1286
-5 -6 3433 1
-4 16 7264 1
-3 31 10641 1
-7 2 13542 1
11 19 0 1
2 -43 13758 1
-6 9 5839 1
3 -14 2455 1109
1 22 8020 1332
22 0 0 1
-20 5 8196 590
-19 19 5059 272
-6 -2 6051 369
10 18 9311 1601
2 0 10701 1
11 -19 0 1
17 5 2349 375
-21 -30 0 1
11 -3 0 621
-48 -41 136 171
-4 4 924 1
0 -35 0 991
2 -8 458 1522
-23 -10 5344 333
-1 43 0 108
41 -15 489 1
6 38 12125 1
5 -15 5608 2044
-32 1 10540 1
8 10 2401 2514
23 -14 7473 524
-48 26 0 1
-14 -18 7338 1025
0 25 4177 27
5 -29 3865 1
-14 4 9693 1
7 44 2091 435
13 -12 7163 780
-12 -13 8274 833
38 16 3937 1
12 24 6226 183
44 -9 1699 1
-21 -8 5170 330
-5 -26 17294 2131
28 22 8295 271
-38 5 4606 14
-34 -28 1094 1
25 -17 11728 1446
-17 8 0 464
-11 8 8230 383
-10 10 6788 1292
-18 3 7162 1816
-11 -13 10145 553
-17 39 3933 2457
21 4 5358 522
11 -20 7625 1484
26 -3 6656 576
-54 32 6089 921
-4 15 0 78
11 17 2247 1356
46 4 12524 380
19 -1 1885 205
-13 34 705 1
11 -25 11772 1
38 13 480 839
8 -33 16394 1
-1 -23 7451 966
6 16 6174 1
-26 -12 8837 1072
-25 -29 1951 1649
-7 -10 5637 168
11 12 6934 1
-7 45 0 1
44 -17 1050 1
0 20 3312 1
-4 -21 634 525
-20 33 5774 352
46 30 14430 1
2 26 268 1
-10 0 0 1
27 5 1395 111
2 -31 12562 108
-48 -29 9767 661
18 -40 0 1
-28 25 7633 1987
-16 -16 0 160
-26 -23 4962 367
-35 -12 0 1
-12 26 1063 1
12 -13 0 833
3 -5 3480 2186
34 -16 1525 656
-3 -17 540 619
24 -8 9700 1
25 51 1196 705
-15 -12 646 494
6 25 5257 1
22 6 0 372
-8 34 18924 720
-5 22 0 639
-7 -3 3158 1
3 -22 0 1
-33 1 3524 1303
5 26 1754 470
0 9 0 1645
40 12 10770 1
8 -22 0 1
-40 -13 7404 762
-2 22 4692 403
6 11 6349 2109
6 -13 0 2301
-4 -4 7219 1
-5 6 2901 184
14 -12 13173 1
-8 22 13242 1
-15 -8 4369 725
41 5 8239 1350
24 -39 13020 1370
-34 15 13602 1202
-2 13 0 9
34 46 0 1413
9 -31 4911 1472
3 -20 0 1003
-8 44 5770 198
8 -27 11214 715
19 -3 0 305
-22 -15 10235 1
-16 -21 632 259
4 1 16441 354
-3 8 0 1
7 2 444 1
34 -12 8006 1562
-3 4 882 1
32 -10 10679 617
0 24 3321 2563
27 -19 14223 1379
-22 -10 877 2844
-12 -21 9757 26
24 11 12752 1
49 27 3871 495
0 -34 8862 1
5 -50 0 189
-16 -22 1792 1
3 12 3748 1
-34 6 0 31
42 -18 15535 812
-31 -2 4673 763
4 -9 7420 1
-42 9 5466 1
2 -35 0 1
6 -40 6871 1
26 23 6675 442
-3 10 0 407
-17 0 2555 483
12 -50 0 1
38 13 7445 1
31 -14 4992 147
-39 0 8118 1
32 -15 9154 313
-6 5 7518 592
-27 21 5573 800
-8 12 4063 1
17 -11 8450 581
10 5 11310 1
-2 13 7024 1
-18 24 9436 319
5 23 0 1
16 -5 4741 1
7 16 0 1510
9 3 7576 1
-1 -21 5744 74
14 2 6477 648
15 -3 6319 1566
0 -11 3064 560
-29 -21 1175 1
29 41 3773 322
-5 5 6494 1
-14 17 9277 1
25 13 0 1223
22 22 6462 852
52 -20 7532 1
35 0 0 256
-7 -22 1806 1499
-17 20 0 1
7 -11 5825 1587
-6 9 6421 132
-8 13 5336 872
-14 -12 10210 1349
9 -22 6286 1
5 31 5598 343
-3 -12 4792 1
3 16 175 25
17 -6 13749 731
-3 28 12946 943
11 -27 5959 1
-14 13 2504 536
9 1 3504 982
38 8 7150 1
7 8 8188 1
26 8 2653 1
25 -5 2498 1
11 -5 0 564
-8 36 3236 1
14 -12 11161 1
-28 -17 7621 1
-19 26 123 1
9 0 184 1
-2 -21 141 177
-18 -16 0 73
7 -9 10240 795
-13 -33 5195 1
25 -13 13782 1
-8 35 4615 1
-30 -13 3812 1
27 -15 7903 1096
22 22 835 1485
17 -29 6724 63
-7 -12 6815 1
-19 -26 3132 1
9 -5 4931 11
-1 23 1344 86
-37 16 16096 60
12 31 4062 1154
44 -5 3172 144
23 17 883 1204
-14 -2 5547 1
-15 21 1639 1
-27 -1 9745 821
13 9 2282 1
15 49 6173 1
-19 -12 1263 1
-25 21 5031 1
24 0 10266 1
-29 7 4657 931
-19 -12 11159 1490
0 25 15837 422
16 15 0 447
-13 -1 2700 453
21 -21 3370 808
-8 -21 315 1
0 17 6056 547
4 -3 0 206
8 29 4472 1
18 -26 11239 1324
28 -22 1024 1
-25 -8 10466 1
-2 17 333 85
-25 -1 883 1886
6 6 0 1
-2 -10 0 34
18 0 0 1073
26 -18 3075 1058
15 -1 9496 590
-6 -37 0 1
-22 -3 0 1
12 18 0 1
47 -9 6052 1245
-10 18 4967 956
12 2 4774 1
14 0 0 151
-25 29 7282 1
10 -5 10505 1
8 -2 374 1
3 3 7481 999
-9 26 16356 531
-7 2 0 1
45 -14 4663 2279
15 -15 9607 1
20 23 7414 930
3 -3 7224 745
-39 31 5845 838
-7 -3 3686 1
7 21 10453 2489
13 14 6507 2218
-4 -9 0 335
18 19 2916 1
0 -6 0 1217
30 -10 4462 1
-32 -1 11963 1
-1 -12 3617 1
-16 21 2185 1
35 -21 10650 1510
-7 -13 3600 786
8 -21 8826 631
-3 -22 1249 1
-32 -39 0 1
12 28 3000 1
-29 -10 886 1
13 1 9233 111
-4 0 10975 1
-12 -28 6921 1
13 23 6841 425
22 -27 6908 2320
8 35 2594 1
-17 3 3776 1701
18 -23 8553 1
8 13 1197 1
-24 -5 5199 1
5 16 2050 634
-21 -2 7290 1
-1 -7 13646 1
2 12 1697 1
33 -8 6708 1
-34 -27 14104 1
36 15 0 71
30 6 11403 40
-2 24 9067 1007
17 -41 6674 1
-49 -31 5186 58
-19 2 0 504
24 -29 6353 1
-10 20 631 16
50 3 7060 1
-19 -9 7119 1871
-6 -43 7853 727
6 5 1820 1
16 -7 3866 861
5 -1 3454 1
-15 9 9537 2568
8 20 6950 226
14 16 0 1304
-13 4 7485 1149
5 6 1154 1946
-16 2 12389 1
-7 -3 7026 360
-18 1 3821 1
-41 2 6163 1
4 -2 3263 1
39 -4 3942 1
13 30 9046 1386
-16 -22 3838 1
0 -8 1686 1
-16 59 6572 1
-16 -24 6410 1691
13 24 4092 1
16 15 3474 1
25 -16 9779 186
-10 20 12339 1
-18 -76 6574 1
24 -24 6306 1178
10 35 15664 1
-11 24 1291 1
15 0 0 400
-8 -5 7681 400
0 3 7111 1
14 15 5501 1
11 42 3809 1
-21 -24 0 854
8 -34 12835 12
7 5 0 130
6 -31 5872 1
8 13 9136 1
26 18 10507 1376
9 17 363 2387
-10 10 14137 986
0 -6 6540 387
-24 -10 7006 70
10 18 0 1
-19 -46 0 1
8 35 3163 486
-39 -6 1397 1
-22 0 8710 1
-19 -22 0 1658
-19 12 0 1
-4 -4 0 925
-1 29 6795 1
15 -3 4952 1
-17 10 312 858
13 17 4740 548
21 -14 1363 1
-1 22 7873 1
-3 0 4474 893
15 22 2912 1
0 -32 11251 898
-8 -33 4702 1631
-7 -7 15386 1
1 -11 9039 1777
8 28 0 1
22 5 2651 139
-42 43 6554 725
-4 -1 734 1
-42 3 10894 1619
-12 -4 6103 474
0 -13 18942 1
-8 10 3175 764
50 -13 0 305
4 7 3384 1
-24 -13 7117 1
-5 20 16033 1
5 -28 8409 1
-17 10 0 617
-4 -17 4234 550
-2 -7 0 1803
11 -9 0 1394
2 -20 4867 599
-20 19 2931 474
-50 -16 9327 1622
-24 16 2859 254
19 -1 4986 1
-4 -9 8451 1
41 -7 14029 1
16 -9 1587 1
14 -13 8362 1257
-28 9 188 1253
0 -5 8625 744
19 -6 5542 1
-21 26 5193 1649
-6 1 5735 269
15 21 809 1
18 0 0 1
35 -4 0 1
16 -13 1895 1
-3 -16 1903 1
-30 28 0 1
2 2 12852 1
-4 12 6018 1
-6 11 9724 1
37 16 4684 1
10 3 4067 1
-7 21 3028 1
17 -29 14480 1754
22 2 13958 1
-17 2 10658 463
-3 10 1942 1708
21 -18 8944 1
-2 -25 3293 452
-9 -13 2930 483
26 -20 2454 1
14 0 13071 1
15 9 9416 1159
34 7 3104 1
20 -26 5723 1590
19 -12 5684 5
-6 15 13689 208
